"","Lon","Lat","species","value"
"5",10.486574,59.260094,"Ammodytes_marinus",71
"8",10.5075018,59.2390056,"Ammodytes_marinus",24
"11",10.512778,59.733889,"Ammodytes_marinus",226
"13",10.741256,59.2329992,"Ammodytes_marinus",648
"65",10.58785,59.42649,"Ammodytes_marinus",86
"66",10.587394,59.432736,"Ammodytes_marinus",107
"76",10.47285,59.348569,"Ammodytes_marinus",132
"91",10.66503333,59.86828333,"Anguilla_anguilla",190
"120",10.754722,59.868889,"Anguilla_anguilla",31
"124",10.782444,59.854306,"Anguilla_anguilla",131
"134",10.4289222,59.0797784,"Anguilla_anguilla",29
"138",10.674155,59.463364,"Anguilla_anguilla",117
"141",10.641683,59.426114,"Anguilla_anguilla",342
"142",10.616258,59.421166,"Anguilla_anguilla",82
"144",10.58785,59.42649,"Anguilla_anguilla",139
"145",10.587394,59.432736,"Anguilla_anguilla",56
"146",10.624563,59.478932,"Anguilla_anguilla",47
"149",10.604175,59.441273,"Anguilla_anguilla",42
"151",10.4939356,59.2473673,"Anguilla_anguilla",26
"159",10.61246,59.873486,"Aphia_minuta",276
"161",10.556143,59.205435,"Aphia_minuta",318
"162",10.54171,59.210345,"Aphia_minuta",24
"163",10.486574,59.260094,"Aphia_minuta",161
"166",10.5075018,59.2390056,"Aphia_minuta",83
"169",10.512778,59.733889,"Aphia_minuta",85
"170",10.66503333,59.86828333,"Aphia_minuta",158
"171",10.741256,59.2329992,"Aphia_minuta",107
"174",10.571389,59.675833,"Aphia_minuta",77
"176",10.229167,59.11,"Aphia_minuta",576
"177",10.585,59.663056,"Aphia_minuta",917
"179",10.393139,59.16525,"Aphia_minuta",120
"180",10.519444,59.726667,"Aphia_minuta",192
"191",10.5143874,59.8324791,"Aphia_minuta",25
"196",10.7166776,59.8842081,"Aphia_minuta",60
"197",10.754722,59.094444,"Aphia_minuta",22
"198",10.368889,59.155389,"Aphia_minuta",81
"199",10.754722,59.868889,"Aphia_minuta",53
"201",10.774639,59.842972,"Aphia_minuta",216
"203",10.782444,59.854306,"Aphia_minuta",189
"206",10.599488,59.874648,"Aphia_minuta",80
"207",10.687774,59.85377,"Aphia_minuta",173
"208",10.548964,59.847356,"Aphia_minuta",241
"209",10.56704,59.880428,"Aphia_minuta",60
"210",10.609304,59.82083,"Aphia_minuta",221
"213",10.4289222,59.0797784,"Aphia_minuta",81
"215",10.68446,59.489083,"Aphia_minuta",65
"217",10.674155,59.463364,"Aphia_minuta",158
"220",10.641683,59.426114,"Aphia_minuta",106
"222",10.594358,59.417073,"Aphia_minuta",505
"228",10.604175,59.441273,"Aphia_minuta",126
"234",10.47285,59.348569,"Aphia_minuta",130
"235",10.495182,59.266081,"Aphia_minuta",40
"240",10.556143,59.205435,"Belone_belone",48
"241",10.54171,59.210345,"Belone_belone",38
"244",10.599975,59.175279,"Belone_belone",74
"245",10.5075018,59.2390056,"Belone_belone",44
"247",10.845383,59.134642,"Belone_belone",33
"250",10.741256,59.2329992,"Belone_belone",346
"276",10.754722,59.094444,"Belone_belone",143
"277",10.368889,59.155389,"Belone_belone",79
"281",10.781908,59.86858,"Belone_belone",185
"282",10.782444,59.854306,"Belone_belone",24
"283",10.565982,59.878324,"Belone_belone",154
"284",10.563127,59.877348,"Belone_belone",241
"293",10.5395683654512,59.8462089551144,"Belone_belone",35
"296",10.674155,59.463364,"Belone_belone",144
"300",10.616258,59.421166,"Belone_belone",21
"301",10.594358,59.417073,"Belone_belone",74
"302",10.58785,59.42649,"Belone_belone",50
"307",10.604175,59.441273,"Belone_belone",49
"308",10.504374,59.283593,"Belone_belone",169
"310",10.5737041,59.1883778,"Belone_belone",181
"311",10.5366347,59.2211262,"Belone_belone",77
"313",10.47285,59.348569,"Belone_belone",206
"314",10.495182,59.266081,"Belone_belone",33
"321",10.486574,59.260094,"Buglossidium_luteum",33
"324",10.5075018,59.2390056,"Buglossidium_luteum",49
"390",10.5366347,59.2211262,"Buglossidium_luteum",42
"403",10.5075018,59.2390056,"Ciliata_mustela",44
"404",10.4341126,59.0639565,"Ciliata_mustela",52
"428",10.5143874,59.8324791,"Ciliata_mustela",68
"457",10.641683,59.426114,"Ciliata_mustela",590
"463",10.620177,59.46032,"Ciliata_mustela",38
"465",10.604175,59.441273,"Ciliata_mustela",238
"466",10.504374,59.283593,"Ciliata_mustela",90
"468",10.5737041,59.1883778,"Ciliata_mustela",52
"469",10.5366347,59.2211262,"Ciliata_mustela",24
"470",10.5988247,59.1758044,"Ciliata_mustela",31
"471",10.47285,59.348569,"Ciliata_mustela",132
"487",10.741256,59.2329992,"Clupea_harengus",31
"489",10.535367,59.80355,"Clupea_harengus",23
"497",10.389444,59.171222,"Clupea_harengus",457
"498",10.699854,59.912147,"Clupea_harengus",576
"511",10.6747926,59.8942799,"Clupea_harengus",290
"518",10.781908,59.86858,"Clupea_harengus",58
"527",10.521936,59.701987,"Clupea_harengus",52
"529",10.4289222,59.0797784,"Clupea_harengus",48
"550",10.47285,59.348569,"Clupea_harengus",124
