ID;TN;TOC;Tot-P;kond.;salinity;group;;
;mg/L;mg/L;µg/L;mS/cm;‰;;;all 1 er egt mindre enn 2
1;0.059;2.426;1;35.7;27;normal;;
6;0.076;148.7;1;32.4;26;normal;;
8;0.069;2.881;1;32.6;25;normal;;
9;0.061;2.916;1;0.001;38;normal;;
10;0.147;5.241;1;0.001;29;high;;
11;0.138;2.808;1;31.5;22;high;;
12;0.091;2.652;3;29.3;23;normal;;
13;0.167;2.989;1;26.8;19;high;;
14;0.114;2.722;1;29.8;22;normal;;
15;0.167;3.014;2;26.4;18;high;;
16;0.127;3.162;370;28.3;21;high;;
17;0.12;3.276;16.8;25.9;18;normal;;
18;0.126;2.945;6;30.4;22;high;;
19;0.137;3.183;12;26.2;18;high;;
21;0.059;3.237;1;35.3;28;normal;;
23;0.055;3.057;1;33.2;26;normal;;
24;0.042;2.739;1;33.6;27;low;;
25;0.001;2.769;1;33.2;27;low;;
41;0.035;2.596;1;32.1;26;low;;
42;0.043;2.515;1;30.9;25;low;;
43;0.022;2.608;2;33.3;28;low;;
44;0.041;2.557;2;33.4;28;low;;
45;0.045;2.406;2;33.9;27;low;;
46;0.053;2.365;2;34.3;27;low;;
47;0.036;2.612;2;33.8;27;low;;
48;0.056;2.353;2;33;27;normal;;
49;0.022;2.561;2;33.6;27;low;;
50;0.032;2.382;3;34.0;28;low;;
64;0.098;3.514;1;31.1;20;normal;;
74;0.156;2.778;2;32.6;24;high;;
75;0.085;3.527;1;30.9;23;normal;;
76;0.114;3.362;1;30.1;22;normal;;
77;0.095;4.251;1;29.8;22;normal;;
78;0.131;2.807;12;30;22;high;;
79;0.103;4.388;1;30.2;22;normal;;
80;0.121;3.041;1;29.7;22;high;;
81;0.133;2.905;4;30.6;22;high;;
82;0.129;3.04;2.5;31.4;22;high;;
83;0.097;78.22;1;29.2;21;normal;;
84;0.069;2.963;3;28.9;21;normal;;
85;0.091;4.305;1;28.6;21;normal;;
86;0.108;4.161;1;30.3;23;normal;;
87;0.179;2.683;1;30.2;23;high;;
88;0.132;3.216;1;29.5;23;high;;
89;0.106;3.786;1;29.8;22;normal;;
90;0.128;3.795;1;31.2;23;high;;
91;0.124;3.748;1;30.1;22;high;;
92;0.073;2.347;1;31.9;24;normal;;
93;0.115;2.332;1;32.8;25;normal;;
94;0.091;2.579;1;32.1;25;normal;;
95;0.068;2.179;1;33;26;normal;;
96;0.213;2.58;1;29.5;22;high;;
97;0.146;2.642;10;30.1;23;high;;
98;0.081;520;1;26.3;20;normal;;
99;0.075;115;1;27.6;21;normal;;
100;0.079;2.307;50;34.7;25;normal;;
101;0.074;2.353;1;33.8;25;normal;;
102;0.05;2.097;1;0.001;6;low;;
103;0.213;2.554;1;30;22;high;;
104;0.101;2.268;1;33.9;25;normal;;
105;0.096;2.916;1;31.7;24;normal;;
106;0.13;2.376;4;35.1;26;high;;
108;0.093;3.008;1;19.7;14;normal;;
109;0.072;2.733;1;31.7;23;normal;;
110;0.096;2.989;1;31.8;23;normal;;
111;0.084;2.765;1;25.1;18;normal;;
113;0.124;2.839;8;31.9;24;high;;
118;0.001;1.584;23;38.9;31;low;;
120;0.047;2.888;4;31.8;25;low;;
121;0.065;22.61;3;34.6;27;normal;;
134;0.001;12.83;10;33.2;26;low;;
139;0.031;3.915;3;31.1;25;low;;
140;0.037;2.114;3;37.6;30;low;;
141;0.054;2.836;3;32.3;26;normal;;
143;0.053;3.165;4;33.6;27;low;;
144;0.047;4.881;4;32.8;26;low;;
145;0.049;4.138;4;32.6;26;low;;
159;0.099;5.842;13;31.1;21;normal;;
160;0.118;5.752;1;30.4;21;normal;;
162;0.043;2.666;4;31.9;26;low;;
164;0.046;3.151;3;32.4;26;low;;
167;0.04;3.035;3;33.8;27;low;;
169;0.051;5.278;3;31.0;26;low;;
170;0.054;3.719;3;33.3;27;normal;;
171;0.107;4.158;6;33.8;24;normal;;
172;0.134;4.523;1;33.7;24;high;;
173;0.107;4.762;1;32.2;23;normal;;
178;0.097;3.311;3;32.6;21;normal;;
186;0.036;4.558;3;32.2;26;normal;;
187;0.064;3.053;3;33.0;27;normal;;
190;0.105;3.41;1;32.6;23;normal;;
192;0.109;3.012;1;31.2;23;normal;;
193;0.099;3.743;1;33.4;24;normal;;
194;0.114;5.867;1;0.001;25;normal;;
201;0.053;2.414;7;35.5;29;low;;
203;0.001;2.166;4;37.0;29;low;;
205;0.052;3.212;4;33.1;27;low;;
