"","Lon","Lat","species","value"
"4",10.3758333333333,59.1593333333333,"Gadus_morhua",6
"5",10.3923333333333,59.1743333333333,"Gadus_morhua",11
"6",10.3765,59.1648333333333,"Gadus_morhua",15
"18",10.3765,59.1648333333333,"Gadus_morhua",1
"20",10.3923333333333,59.1743333333333,"Gadus_morhua",1
"21",10.519,59.2206666666667,"Gadus_morhua",15
"22",10.5335,59.2205,"Gadus_morhua",2
"29",10.3758333333333,59.1593333333333,"Gadus_morhua",7
"30",10.3765,59.1648333333333,"Gadus_morhua",1
"31",10.3758333333333,59.1593333333333,"Gadus_morhua",18
"32",10.3765,59.1648333333333,"Gadus_morhua",1
"33",10.3923333333333,59.1743333333333,"Gadus_morhua",10
"38",10.519,59.22066,"Gadus_morhua",14
"39",10.53356,59.22054,"Gadus_morhua",8
"40",10.53668,59.21618,"Gadus_morhua",14
"44",10.3758333333333,59.1593333333333,"Pollachius_pollachius",7
"45",10.3923333333333,59.1743333333333,"Pollachius_pollachius",11
"46",10.3765,59.1648333333333,"Pollachius_pollachius",15
"58",10.3765,59.1648333333333,"Pollachius_pollachius",1
"59",10.3758333333333,59.1593333333333,"Pollachius_pollachius",1
"60",10.3923333333333,59.1743333333333,"Pollachius_pollachius",1
"61",10.519,59.2206666666667,"Pollachius_pollachius",15
"62",10.5335,59.2205,"Pollachius_pollachius",2
"69",10.3758333333333,59.1593333333333,"Pollachius_pollachius",7
"70",10.3765,59.1648333333333,"Pollachius_pollachius",1
"71",10.3758333333333,59.1593333333333,"Pollachius_pollachius",18
"72",10.3765,59.1648333333333,"Pollachius_pollachius",1
"73",10.3923333333333,59.1743333333333,"Pollachius_pollachius",10
"78",10.519,59.22066,"Pollachius_pollachius",14
"79",10.53356,59.22054,"Pollachius_pollachius",8
"80",10.53668,59.21618,"Pollachius_pollachius",14
"82",10.732,59.8875,"Merlangius_merlangus",1
"84",10.3758333333333,59.1593333333333,"Merlangius_merlangus",6
"85",10.3923333333333,59.1743333333333,"Merlangius_merlangus",1
"86",10.3765,59.1648333333333,"Merlangius_merlangus",1
"88",10.3758333333333,59.1593333333333,"Merlangius_merlangus",1
"93",10.5658333333333,59.8613333333333,"Merlangius_merlangus",1
"100",10.3923333333333,59.1743333333333,"Merlangius_merlangus",15
"103",10.5366666666667,59.2161666666667,"Merlangius_merlangus",6
"108",10.3923333333333,59.1743333333333,"Merlangius_merlangus",1
"109",10.3758333333333,59.1593333333333,"Merlangius_merlangus",3
"111",10.3758333333333,59.1593333333333,"Merlangius_merlangus",11
"113",10.3923333333333,59.1743333333333,"Merlangius_merlangus",6
"124",10.3758333333333,59.1593333333333,"Pollachius_virens",70
"125",10.3923333333333,59.1743333333333,"Pollachius_virens",2
"139",10.3758333333333,59.1593333333333,"Pollachius_virens",221
"140",10.3923333333333,59.1743333333333,"Pollachius_virens",6
"141",10.519,59.2206666666667,"Pollachius_virens",184
"142",10.5335,59.2205,"Pollachius_virens",53
"143",10.5366666666667,59.2161666666667,"Pollachius_virens",1
"149",10.3758333333333,59.1593333333333,"Pollachius_virens",11
"153",10.3923333333333,59.1743333333333,"Pollachius_virens",25
"165",10.3923333333333,59.1743333333333,"Platichthys_flesus",1
"168",10.3758333333333,59.1593333333333,"Platichthys_flesus",1
"172",10.5538333333333,59.8555,"Platichthys_flesus",2
"174",10.6873333333333,59.8521666666667,"Platichthys_flesus",1
"186",10.5658333333333,59.8613333333333,"Platichthys_flesus",1
"187",10.5538333333333,59.8555,"Platichthys_flesus",3
"193",10.3923333333333,59.1743333333333,"Platichthys_flesus",1
"195",10.56587,59.86135,"Platichthys_flesus",1
"197",10.73198,59.88758,"Platichthys_flesus",1
"226",10.5658333333333,59.8613333333333,"Sprattus_sprattus",1
"246",10.3765,59.1648333333333,"Scomber_scombrus",1
"253",10.5658333333333,59.8613333333333,"Scomber_scombrus",5
"272",10.3765,59.1648333333333,"Scomber_scombrus",1
"285",10.3923333333333,59.1743333333333,"Salmo_trutta",30
"288",10.3758333333333,59.1593333333333,"Salmo_trutta",1
"289",10.3923333333333,59.1743333333333,"Salmo_trutta",4
"295",10.5538333333333,59.8555,"Salmo_trutta",1
"302",10.5335,59.2205,"Salmo_trutta",5
"303",10.5366666666667,59.2161666666667,"Salmo_trutta",1
"307",10.5538333333333,59.8555,"Salmo_trutta",1
"308",10.3923333333333,59.1743333333333,"Salmo_trutta",26
"311",10.3758333333333,59.1593333333333,"Salmo_trutta",3
"313",10.3923333333333,59.1743333333333,"Salmo_trutta",5
"314",10.5538,59.8555,"Salmo_trutta",1
"315",10.56587,59.86135,"Salmo_trutta",1
"342",10.5335,59.2205,"Pleuronectes_platessa",1
"365",10.3923333333333,59.1743333333333,"Anguilla_anguilla",1
"415",10.5538333333333,59.8555,"Scophthalmus_rhombus",1
"427",10.5538333333333,59.8555,"Scophthalmus_rhombus",1
"435",10.56587,59.86135,"Scophthalmus_rhombus",1
"452",10.5538333333333,59.8555,"Trachurus_trachurus",2
"500",10.3923333333333,59.1743333333333,"Limanda_limanda",1
