"","institution","species","Lat","Lon","date"
"4563","Norsk zoologisk forening","Myoxocephalus_scorpius",59.662212,10.62689,"09.03.2017 00:00:00"
"4579","Norsk zoologisk forening","Chelidonichthys_lucerna",59.747908,10.722947,"17.02.2017 00:00:00"
"4580","Norsk zoologisk forening","Trisopterus_esmarkii",59.747908,10.722947,"21.02.2017 00:00:00"
"4581","Norsk zoologisk forening","Zoarces_viviparus",59.662162,10.626702,"09.03.2017 00:00:00"
"4582","Norsk zoologisk forening","Tinca_tinca",59.758053,10.497164,"21.05.2017 00:00:00"
"4583","Norsk zoologisk forening","Lepomis_gibbosus",59.758053,10.497164,"21.05.2017 00:00:00"
"4586","Norsk zoologisk forening","Lepomis_gibbosus",59.758049,10.4972,"21.05.2017 00:00:00"
"4589","Norsk zoologisk forening","Salmo_trutta",59.434753,10.492978,"11.03.2017 00:00:00"
"4604","Norsk zoologisk forening","Anguilla_anguilla",59.196515,10.452195,"26.09.2017 00:00:00"
"4605","Norsk zoologisk forening","Oncorhynchus_gorbuscha",59.872315,10.624977,"18.07.2017 00:00:00"
"4610","Norsk zoologisk forening","Scomber_scombrus",59.162359,10.879937,"12.12.2017 00:00:00"
"4611","Norsk zoologisk forening","Merlangius_merlangus",59.844836,10.633601,"12.11.2017 00:00:00"
"4612","Norsk zoologisk forening","Limanda_limanda",59.844836,10.633601,"12.11.2017 00:00:00"
"4613","Norsk zoologisk forening","Xiphias_gladius",59.895573,10.676127,"08.11.2017 00:00:00"
"4614","Norsk zoologisk forening","Xiphias_gladius",59.894825,10.674779,"08.11.2017 00:00:00"
"4615","Norsk zoologisk forening","Gadus_morhua",59.840368,10.638712,"03.11.2017 00:00:00"
"4616","Norsk zoologisk forening","Hippoglossoides_platessoides",59.840368,10.638712,"03.11.2017 00:00:00"
"4617","Norsk zoologisk forening","Hippoglossoides_platessoides",59.859323,10.651486,"03.11.2017 00:00:00"
"4618","Norsk zoologisk forening","Platichthys_flesus",59.859323,10.651486,"03.11.2017 00:00:00"
"4619","Norsk zoologisk forening","Limanda_limanda",59.859323,10.651486,"03.11.2017 00:00:00"
"4620","Norsk zoologisk forening","Solea_solea",59.859323,10.651486,"03.11.2017 00:00:00"
"4621","Norsk zoologisk forening","Eutrigla_gurnardus",59.859323,10.651486,"03.11.2017 00:00:00"
"4622","Norsk zoologisk forening","Gadus_morhua",59.859323,10.651486,"03.11.2017 00:00:00"
"4623","Norsk zoologisk forening","Salmo_trutta",59.196515,10.452195,"26.09.2017 00:00:00"
"4624","Norsk zoologisk forening","Salmo_trutta",59.175499,10.37812,"09.10.2017 00:00:00"
"4625","Norsk zoologisk forening","Callionymus_lyra",59.563688,10.652735,"13.10.2017 00:00:00"
"4626","Norsk zoologisk forening","Scophthalmus_rhombus",59.318996,10.675049,"21.09.2017 00:00:00"
"4627","Norsk zoologisk forening","Scomber_scombrus",59.807857,10.611376,"26.10.2017 00:00:00"
"4628","Norsk zoologisk forening","Ctenolabrus_rupestris",59.563688,10.652735,"13.10.2017 00:00:00"
"4629","Norsk zoologisk forening","Pollachius_virens",59.563688,10.652735,"13.10.2017 00:00:00"
"4630","Norsk zoologisk forening","Eutrigla_gurnardus",59.563688,10.652735,"13.10.2017 00:00:00"
"4631","Norsk zoologisk forening","Platichthys_flesus",59.563688,10.652735,"13.10.2017 00:00:00"
"4632","Norsk zoologisk forening","Spinachia_spinachia",59.318996,10.675049,"10.10.2017 00:00:00"
"4633","Norsk zoologisk forening","Salmo_trutta",59.768412,10.711556,"06.10.2017 00:00:00"
"4634","Norsk zoologisk forening","Scomber_scombrus",59.718813,10.546967,"06.10.2017 00:00:00"
"4635","Norsk zoologisk forening","Gasterosteus_aculeatus",59.175499,10.37812,"09.10.2017 00:00:00"
"4636","Norsk zoologisk forening","Platichthys_flesus",59.175499,10.37812,"09.10.2017 00:00:00"
"4637","Norsk zoologisk forening","Platichthys_flesus",59.416234,10.609041,"09.10.2017 00:00:00"
