"","institution","species","Lat","Lon","date"
"1","Havforskningsinstituttet","Pollachius_virens",59.508335,10.491667,"06.12.1994 00:00:00"
"2","Havforskningsinstituttet","Pollachius_virens",59.541668,10.643333,"03.11.1995 00:00:00"
"3","Havforskningsinstituttet","Pollachius_virens",59.021668,10.478334,"04.11.1995 00:00:00"
"4","Havforskningsinstituttet","Pollachius_virens",59.466667,10.545,"02.11.1997 00:00:00"
"5","Havforskningsinstituttet","Pollachius_virens",59.349998,10.51,"03.11.1997 00:00:00"
"6","Havforskningsinstituttet","Pollachius_virens",59.511665,10.31,"03.11.1997 00:00:00"
"7","Havforskningsinstituttet","Pollachius_virens",59.478332,10.613334,"30.10.1998 00:00:00"
"8","Havforskningsinstituttet","Pollachius_virens",59.313332,10.671667,"30.10.1998 00:00:00"
"9","Havforskningsinstituttet","Pollachius_virens",59.738335,10.551666,"19.11.1998 00:00:00"
"10","Havforskningsinstituttet","Pollachius_virens",59.290001,10.685,"06.11.1999 00:00:00"
"11","Havforskningsinstituttet","Pollachius_virens",59.375,10.49,"06.11.1999 00:00:00"
"12","Havforskningsinstituttet","Pollachius_virens",59.901668,10.65,"05.11.2000 00:00:00"
"13","Havforskningsinstituttet","Pollachius_virens",59.851666,10.698334,"04.11.2001 00:00:00"
"14","Havforskningsinstituttet","Pollachius_virens",59.845001,10.766666,"04.11.2001 00:00:00"
"15","Havforskningsinstituttet","Pollachius_virens",59.553333,10.266666,"03.11.2002 00:00:00"
"16","Havforskningsinstituttet","Pollachius_virens",59.5,10.5,"22.09.2003 00:00:00"
"17","Havforskningsinstituttet","Merlangius_merlangus",59.466667,10.383333,"01.12.1988 00:00:00"
"18","Havforskningsinstituttet","Merlangius_merlangus",59.75,10.55,"30.11.1990 00:00:00"
"19","Havforskningsinstituttet","Merlangius_merlangus",59.633335,10.616667,"01.12.1990 00:00:00"
"20","Havforskningsinstituttet","Merlangius_merlangus",59.599998,10.616667,"30.11.1991 00:00:00"
"21","Havforskningsinstituttet","Merlangius_merlangus",59.783333,10.716666,"26.05.1992 00:00:00"
"22","Havforskningsinstituttet","Merlangius_merlangus",59.483334,10.533334,"26.05.1992 00:00:00"
"23","Havforskningsinstituttet","Merlangius_merlangus",59.016666,10.95,"27.05.1992 00:00:00"
"24","Havforskningsinstituttet","Merlangius_merlangus",59.893333,10.65,"05.11.1999 00:00:00"
"25","Havforskningsinstituttet","Merlangius_merlangus",59.776668,10.721666,"05.11.1999 00:00:00"
"26","Havforskningsinstituttet","Merlangius_merlangus",59.375,10.49,"06.11.1999 00:00:00"
"27","Havforskningsinstituttet","Merlangius_merlangus",59.525002,10.296667,"06.11.1999 00:00:00"
"28","Havforskningsinstituttet","Merlangius_merlangus",59.290001,10.685,"06.11.1999 00:00:00"
"29","Havforskningsinstituttet","Merlangius_merlangus",59.288334,10.686666,"06.11.1999 00:00:00"
"30","Havforskningsinstituttet","Merlangius_merlangus",59.130001,10.803333,"06.11.1999 00:00:00"
"31","Havforskningsinstituttet","Merlangius_merlangus",59.166668,10.761666,"05.11.2000 00:00:00"
"32","Havforskningsinstituttet","Merlangius_merlangus",59.901668,10.65,"05.11.2000 00:00:00"
"33","Havforskningsinstituttet","Merlangius_merlangus",59.756668,10.718333,"05.11.2000 00:00:00"
"34","Havforskningsinstituttet","Merlangius_merlangus",59.791668,10.721666,"05.11.2000 00:00:00"
"35","Havforskningsinstituttet","Merlangius_merlangus",59.560001,10.25,"05.11.2000 00:00:00"
"36","Havforskningsinstituttet","Merlangius_merlangus",59.685001,10.556666,"05.11.2000 00:00:00"
"37","Havforskningsinstituttet","Merlangius_merlangus",59.264999,10.528334,"06.11.2000 00:00:00"
"38","Havforskningsinstituttet","Merlangius_merlangus",59.458332,10.383333,"06.11.2000 00:00:00"
"39","Havforskningsinstituttet","Merlangius_merlangus",59.331665,10.658334,"04.11.2001 00:00:00"
"40","Havforskningsinstituttet","Merlangius_merlangus",59.851666,10.698334,"04.11.2001 00:00:00"
"41","Havforskningsinstituttet","Merlangius_merlangus",59.845001,10.766666,"04.11.2001 00:00:00"
"42","Havforskningsinstituttet","Merlangius_merlangus",59.555,10.256667,"05.11.2001 00:00:00"
"43","Havforskningsinstituttet","Merlangius_merlangus",59.095001,10.538333,"05.11.2001 00:00:00"
"44","Havforskningsinstituttet","Merlangius_merlangus",59.435001,10.5,"03.11.2002 00:00:00"
"45","Havforskningsinstituttet","Merlangius_merlangus",59.553333,10.266666,"03.11.2002 00:00:00"
"46","Havforskningsinstituttet","Merlangius_merlangus",59.821667,10.74,"03.11.2002 00:00:00"
"47","Havforskningsinstituttet","Merlangius_merlangus",59.895,10.646666,"04.11.2002 00:00:00"
"48","Havforskningsinstituttet","Merlangius_merlangus",59.490002,10.616667,"04.11.2002 00:00:00"
"49","Havforskningsinstituttet","Merlangius_merlangus",59.161667,10.87,"04.11.2002 00:00:00"
"50","Havforskningsinstituttet","Merlangius_merlangus",59.091667,10.75,"04.11.2002 00:00:00"
"51","Havforskningsinstituttet","Merlangius_merlangus",59.788334,10.715,"18.11.2003 00:00:00"
"52","Havforskningsinstituttet","Merlangius_merlangus",59.841667,10.765,"18.11.2003 00:00:00"
"53","Havforskningsinstituttet","Merlangius_merlangus",59.901668,10.646666,"18.11.2003 00:00:00"
"54","Havforskningsinstituttet","Merlangius_merlangus",59.154999,10.866667,"19.11.2003 00:00:00"
"55","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.483334,10.533334,"26.05.1992 00:00:00"
"56","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.783333,10.716666,"26.05.1992 00:00:00"
"57","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.016666,10.95,"27.05.1992 00:00:00"
"58","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.150002,10.466666,"10.02.1994 00:00:00"
"59","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.021668,10.478334,"04.11.1995 00:00:00"
"60","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.466667,10.545,"02.11.1997 00:00:00"
"61","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.511665,10.31,"03.11.1997 00:00:00"
"62","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.478332,10.613334,"30.10.1998 00:00:00"
"63","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.290001,10.685,"06.11.1999 00:00:00"
"64","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.331665,10.658334,"04.11.2001 00:00:00"
"65","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.161667,10.87,"04.11.2002 00:00:00"
"66","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.490002,10.616667,"04.11.2002 00:00:00"
"67","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.368332,10.495,"18.11.2004 00:00:00"
"68","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.146668,10.866667,"19.11.2004 00:00:00"
"69","Havforskningsinstituttet","Merlangius_merlangus",59.791668,10.531667,"18.11.2004 00:00:00"
"70","Havforskningsinstituttet","Merlangius_merlangus",59.368332,10.495,"18.11.2004 00:00:00"
"71","Havforskningsinstituttet","Merlangius_merlangus",59.895,10.663333,"18.11.2004 00:00:00"
"72","Havforskningsinstituttet","Merlangius_merlangus",59.799999,10.708333,"18.11.2004 00:00:00"
"73","Havforskningsinstituttet","Merlangius_merlangus",59.146668,10.866667,"19.11.2004 00:00:00"
"74","Havforskningsinstituttet","Merlangius_merlangus",59.375,10.495,"20.11.2005 00:00:00"
"75","Havforskningsinstituttet","Merlangius_merlangus",59.543335,10.281667,"20.11.2005 00:00:00"
"76","Havforskningsinstituttet","Merlangius_merlangus",59.156666,10.865,"21.11.2005 00:00:00"
"77","Havforskningsinstituttet","Cyclopterus_lumpus",59.583332,10.633333,"02.12.1993 00:00:00"
"78","Havforskningsinstituttet","Cyclopterus_lumpus",59.791668,10.721666,"05.11.2000 00:00:00"
"79","Havforskningsinstituttet","Cyclopterus_lumpus",59.435001,10.5,"03.11.2002 00:00:00"
"80","Havforskningsinstituttet","Cyclopterus_lumpus",59.821667,10.74,"03.11.2002 00:00:00"
"81","Havforskningsinstituttet","Merlangius_merlangus",59.533333,10.65,"01.12.1992 00:00:00"
"82","Havforskningsinstituttet","Merlangius_merlangus",59.716667,10.583333,"01.12.1992 00:00:00"
"83","Havforskningsinstituttet","Merlangius_merlangus",59.533333,10.416667,"01.12.1992 00:00:00"
"84","Havforskningsinstituttet","Merlangius_merlangus",59.5,10.533334,"02.12.1992 00:00:00"
"85","Havforskningsinstituttet","Merlangius_merlangus",59.299999,10.55,"02.12.1992 00:00:00"
"86","Havforskningsinstituttet","Squalus_acanthias",59.021668,10.706667,"02.11.1997 00:00:00"
"87","Havforskningsinstituttet","Molva_molva",59.496666,10.433333,"03.11.1997 00:00:00"
"88","Havforskningsinstituttet","Molva_molva",59.381668,10.583333,"03.11.1997 00:00:00"
"89","Havforskningsinstituttet","Merlangius_merlangus",59.516666,10.416667,"01.12.1993 00:00:00"
"90","Havforskningsinstituttet","Merlangius_merlangus",59.583332,10.633333,"02.12.1993 00:00:00"
"91","Havforskningsinstituttet","Merlangius_merlangus",59.383335,10.566667,"02.12.1993 00:00:00"
"92","Havforskningsinstituttet","Merlangius_merlangus",59.799999,10.54,"07.02.1994 00:00:00"
"93","Havforskningsinstituttet","Merlangius_merlangus",59.466667,10.49,"08.02.1994 00:00:00"
"94","Havforskningsinstituttet","Merlangius_merlangus",59.150002,10.466666,"10.02.1994 00:00:00"
"95","Havforskningsinstituttet","Merlangius_merlangus",59.083332,10.25,"11.02.1994 00:00:00"
"96","Havforskningsinstituttet","Merlangius_merlangus",59.071667,10.248333,"05.12.1994 00:00:00"
"97","Havforskningsinstituttet","Merlangius_merlangus",59.009998,11.108334,"05.12.1994 00:00:00"
"98","Havforskningsinstituttet","Merlangius_merlangus",59.508335,10.491667,"06.12.1994 00:00:00"
"99","Havforskningsinstituttet","Merlangius_merlangus",59.528332,10.58,"07.12.1994 00:00:00"
"100","Havforskningsinstituttet","Merlangius_merlangus",59.403332,10.6,"07.12.1994 00:00:00"
"101","Havforskningsinstituttet","Merlangius_merlangus",59.351666,10.51,"26.02.1995 00:00:00"
"102","Havforskningsinstituttet","Merlangius_merlangus",59.876667,10.685,"27.02.1995 00:00:00"
"103","Havforskningsinstituttet","Merlangius_merlangus",59.533333,10.283334,"28.02.1995 00:00:00"
"104","Havforskningsinstituttet","Merlangius_merlangus",59.376667,10.603334,"03.11.1995 00:00:00"
"105","Havforskningsinstituttet","Merlangius_merlangus",59.751667,10.573334,"03.11.1995 00:00:00"
"106","Havforskningsinstituttet","Merlangius_merlangus",59.541668,10.643333,"03.11.1995 00:00:00"
"107","Havforskningsinstituttet","Merlangius_merlangus",59.833332,10.7,"04.11.1995 00:00:00"
"108","Havforskningsinstituttet","Merlangius_merlangus",59.766666,10.716666,"04.11.1995 00:00:00"
"109","Havforskningsinstituttet","Merlangius_merlangus",59.021668,10.478334,"04.11.1995 00:00:00"
"110","Havforskningsinstituttet","Merlangius_merlangus",59.893333,10.655,"04.11.1995 00:00:00"
"111","Havforskningsinstituttet","Merlangius_merlangus",59.018333,10.288333,"04.11.1995 00:00:00"
"112","Havforskningsinstituttet","Merlangius_merlangus",59.786667,10.72,"05.11.1996 00:00:00"
"113","Havforskningsinstituttet","Merlangius_merlangus",59.834999,10.625,"05.11.1996 00:00:00"
"114","Havforskningsinstituttet","Merlangius_merlangus",59.900002,10.65,"05.11.1996 00:00:00"
"115","Havforskningsinstituttet","Merlangius_merlangus",59.611668,10.623333,"13.12.1996 00:00:00"
"116","Havforskningsinstituttet","Merlangius_merlangus",59.796665,10.535,"13.12.1996 00:00:00"
"117","Havforskningsinstituttet","Merlangius_merlangus",59.856667,10.7,"02.11.1997 00:00:00"
"118","Havforskningsinstituttet","Merlangius_merlangus",59.466667,10.545,"02.11.1997 00:00:00"
"119","Havforskningsinstituttet","Merlangius_merlangus",59.830002,10.541667,"03.11.1997 00:00:00"
"120","Havforskningsinstituttet","Merlangius_merlangus",59.511665,10.31,"03.11.1997 00:00:00"
"121","Havforskningsinstituttet","Merlangius_merlangus",59.555,10.26,"03.11.1997 00:00:00"
"122","Havforskningsinstituttet","Merlangius_merlangus",59.496666,10.433333,"03.11.1997 00:00:00"
"123","Havforskningsinstituttet","Merlangius_merlangus",59.381668,10.583333,"03.11.1997 00:00:00"
"124","Havforskningsinstituttet","Merlangius_merlangus",59.083332,10.808333,"03.11.1997 00:00:00"
"125","Havforskningsinstituttet","Merlangius_merlangus",59.349998,10.51,"03.11.1997 00:00:00"
"126","Havforskningsinstituttet","Merlangius_merlangus",59.011665,10.925,"03.11.1997 00:00:00"
"127","Havforskningsinstituttet","Merlangius_merlangus",59.313332,10.671667,"30.10.1998 00:00:00"
"128","Havforskningsinstituttet","Merlangius_merlangus",59.478332,10.613334,"30.10.1998 00:00:00"
"129","Havforskningsinstituttet","Merlangius_merlangus",59.77,10.721666,"30.10.1998 00:00:00"
"130","Havforskningsinstituttet","Merlangius_merlangus",59.75,10.53,"31.10.1998 00:00:00"
"131","Havforskningsinstituttet","Merlangius_merlangus",59.738335,10.551666,"19.11.1998 00:00:00"
"132","Havforskningsinstituttet","Melanogrammus_aeglefinus",59.375,10.495,"20.11.2005 00:00:00"
"133","Havforskningsinstituttet","Sprattus_sprattus",59.516666,10.4,"15.11.1985 00:00:00"
"134","Havforskningsinstituttet","Sprattus_sprattus",59.483334,10.6,"02.12.1986 00:00:00"
"135","Havforskningsinstituttet","Sprattus_sprattus",58.983334,10.666667,"04.08.1987 00:00:00"
"136","Havforskningsinstituttet","Sprattus_sprattus",59.466667,10.383333,"01.12.1988 00:00:00"
"137","Havforskningsinstituttet","Sprattus_sprattus",59.75,10.55,"30.11.1990 00:00:00"
"138","Havforskningsinstituttet","Sprattus_sprattus",59.633335,10.616667,"01.12.1990 00:00:00"
"139","Havforskningsinstituttet","Sprattus_sprattus",59.783333,10.716666,"29.11.1991 00:00:00"
"140","Havforskningsinstituttet","Sprattus_sprattus",59.599998,10.616667,"30.11.1991 00:00:00"
"141","Havforskningsinstituttet","Sprattus_sprattus",59.233334,10.666667,"30.11.1991 00:00:00"
"142","Havforskningsinstituttet","Sprattus_sprattus",59.200001,10.633333,"30.11.1991 00:00:00"
"143","Havforskningsinstituttet","Sprattus_sprattus",59.783333,10.716666,"26.05.1992 00:00:00"
"144","Havforskningsinstituttet","Sprattus_sprattus",59.483334,10.533334,"26.05.1992 00:00:00"
"145","Havforskningsinstituttet","Sprattus_sprattus",59.016666,10.95,"27.05.1992 00:00:00"
"146","Havforskningsinstituttet","Sprattus_sprattus",59.816666,10.716666,"30.11.1992 00:00:00"
"147","Havforskningsinstituttet","Sprattus_sprattus",59.783333,10.533334,"30.11.1992 00:00:00"
"148","Havforskningsinstituttet","Sprattus_sprattus",59.533333,10.65,"01.12.1992 00:00:00"
"149","Havforskningsinstituttet","Sprattus_sprattus",59.533333,10.416667,"01.12.1992 00:00:00"
"150","Havforskningsinstituttet","Sprattus_sprattus",59.483334,10.45,"02.12.1992 00:00:00"
"151","Havforskningsinstituttet","Sprattus_sprattus",59.516666,10.416667,"01.12.1993 00:00:00"
"152","Havforskningsinstituttet","Sprattus_sprattus",59.799999,10.54,"07.02.1994 00:00:00"
"153","Havforskningsinstituttet","Sprattus_sprattus",59.336666,10.546667,"09.02.1994 00:00:00"
"154","Havforskningsinstituttet","Sprattus_sprattus",59.150002,10.466666,"10.02.1994 00:00:00"
"155","Havforskningsinstituttet","Sprattus_sprattus",59.083332,10.25,"11.02.1994 00:00:00"
"156","Havforskningsinstituttet","Sprattus_sprattus",59.009998,11.108334,"05.12.1994 00:00:00"
"157","Havforskningsinstituttet","Sprattus_sprattus",59.139999,10.833333,"05.12.1994 00:00:00"
"158","Havforskningsinstituttet","Sprattus_sprattus",59.125,10.691667,"05.12.1994 00:00:00"
"159","Havforskningsinstituttet","Sprattus_sprattus",59.071667,10.248333,"05.12.1994 00:00:00"
"160","Havforskningsinstituttet","Sprattus_sprattus",59.779999,10.721666,"06.12.1994 00:00:00"
"161","Havforskningsinstituttet","Sprattus_sprattus",59.508335,10.491667,"06.12.1994 00:00:00"
"162","Havforskningsinstituttet","Sprattus_sprattus",59.403332,10.6,"07.12.1994 00:00:00"
"163","Havforskningsinstituttet","Sprattus_sprattus",59.528332,10.58,"07.12.1994 00:00:00"
"164","Havforskningsinstituttet","Sprattus_sprattus",59.150002,10.655,"08.12.1994 00:00:00"
"165","Havforskningsinstituttet","Sprattus_sprattus",59.126667,10.335,"25.02.1995 00:00:00"
"166","Havforskningsinstituttet","Sprattus_sprattus",59.351666,10.51,"26.02.1995 00:00:00"
"167","Havforskningsinstituttet","Sprattus_sprattus",59.013332,11.113334,"26.02.1995 00:00:00"
"168","Havforskningsinstituttet","Sprattus_sprattus",59.876667,10.685,"27.02.1995 00:00:00"
"169","Havforskningsinstituttet","Sprattus_sprattus",59.511665,10.665,"27.02.1995 00:00:00"
"170","Havforskningsinstituttet","Sprattus_sprattus",59.533333,10.283334,"28.02.1995 00:00:00"
"171","Havforskningsinstituttet","Sprattus_sprattus",59.376667,10.603334,"03.11.1995 00:00:00"
"172","Havforskningsinstituttet","Sprattus_sprattus",59.541668,10.643333,"03.11.1995 00:00:00"
"173","Havforskningsinstituttet","Sprattus_sprattus",59.751667,10.573334,"03.11.1995 00:00:00"
"174","Havforskningsinstituttet","Sprattus_sprattus",59.853332,10.643333,"03.11.1995 00:00:00"
"175","Havforskningsinstituttet","Sprattus_sprattus",59.766666,10.578333,"03.11.1995 00:00:00"
"176","Havforskningsinstituttet","Sprattus_sprattus",59.833332,10.7,"04.11.1995 00:00:00"
"177","Havforskningsinstituttet","Sprattus_sprattus",59.766666,10.716666,"04.11.1995 00:00:00"
"178","Havforskningsinstituttet","Sprattus_sprattus",59.459999,10.408334,"04.11.1995 00:00:00"
"179","Havforskningsinstituttet","Sprattus_sprattus",59.893333,10.655,"04.11.1995 00:00:00"
"180","Havforskningsinstituttet","Sprattus_sprattus",59.021668,10.478334,"04.11.1995 00:00:00"
"181","Havforskningsinstituttet","Sprattus_sprattus",59.018333,10.288333,"04.11.1995 00:00:00"
"182","Havforskningsinstituttet","Sprattus_sprattus",59.834999,10.625,"05.11.1996 00:00:00"
"183","Havforskningsinstituttet","Sprattus_sprattus",59.900002,10.65,"05.11.1996 00:00:00"
"184","Havforskningsinstituttet","Sprattus_sprattus",59.786667,10.72,"05.11.1996 00:00:00"
"185","Havforskningsinstituttet","Sprattus_sprattus",59.794998,10.72,"12.12.1996 00:00:00"
"186","Havforskningsinstituttet","Sprattus_sprattus",59.611668,10.623333,"13.12.1996 00:00:00"
"187","Havforskningsinstituttet","Sprattus_sprattus",59.796665,10.535,"13.12.1996 00:00:00"
"188","Havforskningsinstituttet","Sprattus_sprattus",59.253334,10.636666,"13.12.1996 00:00:00"
"189","Havforskningsinstituttet","Sprattus_sprattus",59.856667,10.7,"02.11.1997 00:00:00"
"190","Havforskningsinstituttet","Sprattus_sprattus",59.830002,10.541667,"03.11.1997 00:00:00"
"191","Havforskningsinstituttet","Sprattus_sprattus",59.555,10.26,"03.11.1997 00:00:00"
"192","Havforskningsinstituttet","Sprattus_sprattus",59.496666,10.433333,"03.11.1997 00:00:00"
"193","Havforskningsinstituttet","Sprattus_sprattus",59.349998,10.51,"03.11.1997 00:00:00"
"194","Havforskningsinstituttet","Sprattus_sprattus",59.083332,10.808333,"03.11.1997 00:00:00"
"195","Havforskningsinstituttet","Sprattus_sprattus",59.011665,10.925,"03.11.1997 00:00:00"
"196","Havforskningsinstituttet","Sprattus_sprattus",59.478332,10.613334,"30.10.1998 00:00:00"
"197","Havforskningsinstituttet","Sprattus_sprattus",59.313332,10.671667,"30.10.1998 00:00:00"
"198","Havforskningsinstituttet","Sprattus_sprattus",59.77,10.721666,"30.10.1998 00:00:00"
"199","Havforskningsinstituttet","Sprattus_sprattus",59.311668,10.556666,"31.10.1998 00:00:00"
"200","Havforskningsinstituttet","Sprattus_sprattus",59.75,10.53,"31.10.1998 00:00:00"
"201","Havforskningsinstituttet","Sprattus_sprattus",59.738335,10.551666,"19.11.1998 00:00:00"
"202","Havforskningsinstituttet","Sprattus_sprattus",59.893333,10.65,"05.11.1999 00:00:00"
"203","Havforskningsinstituttet","Sprattus_sprattus",59.776668,10.721666,"05.11.1999 00:00:00"
"204","Havforskningsinstituttet","Sprattus_sprattus",59.375,10.49,"06.11.1999 00:00:00"
"205","Havforskningsinstituttet","Sprattus_sprattus",59.525002,10.296667,"06.11.1999 00:00:00"
"206","Havforskningsinstituttet","Sprattus_sprattus",59.290001,10.685,"06.11.1999 00:00:00"
"207","Havforskningsinstituttet","Sprattus_sprattus",59.288334,10.686666,"06.11.1999 00:00:00"
"208","Havforskningsinstituttet","Sprattus_sprattus",59.130001,10.803333,"06.11.1999 00:00:00"
"209","Havforskningsinstituttet","Sprattus_sprattus",59.166668,10.761666,"05.11.2000 00:00:00"
"210","Havforskningsinstituttet","Sprattus_sprattus",59.756668,10.718333,"05.11.2000 00:00:00"
"211","Havforskningsinstituttet","Sprattus_sprattus",59.901668,10.65,"05.11.2000 00:00:00"
"212","Havforskningsinstituttet","Sprattus_sprattus",59.685001,10.556666,"05.11.2000 00:00:00"
"213","Havforskningsinstituttet","Sprattus_sprattus",59.560001,10.25,"05.11.2000 00:00:00"
"214","Havforskningsinstituttet","Sprattus_sprattus",59.264999,10.528334,"06.11.2000 00:00:00"
"215","Havforskningsinstituttet","Sprattus_sprattus",59.458332,10.383333,"06.11.2000 00:00:00"
"216","Havforskningsinstituttet","Sprattus_sprattus",59.066666,10.498333,"06.11.2000 00:00:00"
"217","Havforskningsinstituttet","Sprattus_sprattus",59.331665,10.658334,"04.11.2001 00:00:00"
"218","Havforskningsinstituttet","Sprattus_sprattus",59.851666,10.698334,"04.11.2001 00:00:00"
"219","Havforskningsinstituttet","Sprattus_sprattus",59.845001,10.766666,"04.11.2001 00:00:00"
"220","Havforskningsinstituttet","Sprattus_sprattus",59.095001,10.538333,"05.11.2001 00:00:00"
"221","Havforskningsinstituttet","Sprattus_sprattus",59.555,10.256667,"05.11.2001 00:00:00"
"222","Havforskningsinstituttet","Sprattus_sprattus",59.435001,10.5,"03.11.2002 00:00:00"
"223","Havforskningsinstituttet","Sprattus_sprattus",59.553333,10.266666,"03.11.2002 00:00:00"
"224","Havforskningsinstituttet","Sprattus_sprattus",59.821667,10.74,"03.11.2002 00:00:00"
"225","Havforskningsinstituttet","Sprattus_sprattus",59.895,10.646666,"04.11.2002 00:00:00"
"226","Havforskningsinstituttet","Sprattus_sprattus",59.490002,10.616667,"04.11.2002 00:00:00"
"227","Havforskningsinstituttet","Sprattus_sprattus",59.091667,10.75,"04.11.2002 00:00:00"
"228","Havforskningsinstituttet","Sprattus_sprattus",59.161667,10.87,"04.11.2002 00:00:00"
"229","Havforskningsinstituttet","Sprattus_sprattus",59.788334,10.715,"18.11.2003 00:00:00"
"230","Havforskningsinstituttet","Sprattus_sprattus",59.901668,10.646666,"18.11.2003 00:00:00"
"231","Havforskningsinstituttet","Sprattus_sprattus",59.841667,10.765,"18.11.2003 00:00:00"
"232","Havforskningsinstituttet","Sprattus_sprattus",59.154999,10.866667,"19.11.2003 00:00:00"
"233","Havforskningsinstituttet","Sprattus_sprattus",59.368332,10.495,"18.11.2004 00:00:00"
