"","species","eDNA","Beach Seine","Artsdatabanken"
"1","Ammodytes_marinus",TRUE,FALSE,TRUE
"2","Anguilla_anguilla",TRUE,TRUE,TRUE
"3","Aphia_minuta",TRUE,FALSE,TRUE
"4","Belone_belone",TRUE,FALSE,TRUE
"5","Buglossidium_luteum",TRUE,FALSE,FALSE
"6","Ciliata_mustela",TRUE,FALSE,TRUE
"7","Clupea_harengus",TRUE,FALSE,TRUE
"8","Crystallogobius_linearis",TRUE,FALSE,FALSE
"9","Ctenolabrus_rupestris",TRUE,TRUE,TRUE
"10","Cyclopterus_lumpus",TRUE,FALSE,TRUE
"11","Enchelyopus_cimbrius",TRUE,FALSE,TRUE
"12","Engraulis_encrasicolus",TRUE,FALSE,TRUE
"13","Gadiculus_argenteus",TRUE,FALSE,FALSE
"14","Gadus_morhua",TRUE,TRUE,TRUE
"15","Gasterosteus_aculeatus",TRUE,TRUE,TRUE
"16","Glyptocephalus_cynoglossus",TRUE,FALSE,TRUE
"17","Gobius_niger",TRUE,TRUE,TRUE
"18","Gobiusculus_flavescens",TRUE,FALSE,TRUE
"19","Gymnocephalus_cernua",TRUE,FALSE,FALSE
"20","Hippoglossoides_platessoides",TRUE,FALSE,TRUE
"21","Labrus_bergylta",TRUE,TRUE,TRUE
"22","Lesueurigobius_friesii",TRUE,FALSE,TRUE
"23","Limanda_limanda",TRUE,TRUE,TRUE
"24","Liparis_montagui",TRUE,FALSE,FALSE
"25","Melanogrammus_aeglefinus",TRUE,FALSE,TRUE
"26","Merlangius_merlangus",TRUE,TRUE,TRUE
"27","Myoxocephalus_scorpius",TRUE,TRUE,TRUE
"28","Oncorhynchus_gorbuscha",TRUE,FALSE,TRUE
"29","Osmerus_eperlanus",TRUE,FALSE,FALSE
"30","Perca_fluviatilis",TRUE,FALSE,TRUE
"31","Pholis_gunnellus",TRUE,TRUE,TRUE
"32","Phrynorhombus_norvegicus",TRUE,FALSE,TRUE
"33","Platichthys_flesus",TRUE,TRUE,TRUE
"34","Pleuronectes_platessa",TRUE,TRUE,TRUE
"35","Pollachius_pollachius",TRUE,TRUE,TRUE
"36","Pollachius_virens",TRUE,TRUE,TRUE
"37","Pomatoschistus_microps",TRUE,FALSE,TRUE
"38","Pomatoschistus_minutus",TRUE,TRUE,TRUE
"39","Pomatoschistus_pictus",TRUE,FALSE,TRUE
"40","Raniceps_raninus",TRUE,FALSE,TRUE
"41","Salmo_salar",TRUE,FALSE,TRUE
"42","Salmo_trutta",TRUE,TRUE,TRUE
"43","Sardina_pilchardus",TRUE,FALSE,FALSE
"44","Scomber_scombrus",TRUE,TRUE,TRUE
"45","Scophthalmus_maximus",TRUE,FALSE,TRUE
"46","Scophthalmus_rhombus",TRUE,TRUE,TRUE
"47","Solea_solea",TRUE,FALSE,TRUE
"48","Spinachia_spinachia",TRUE,TRUE,TRUE
"49","Sprattus_sprattus",TRUE,TRUE,TRUE
"50","Symphodus_melops",TRUE,TRUE,TRUE
