"","species","eDNA","Observational data"
"1","Ammodytes_marinus",TRUE,FALSE
"2","Anguilla_anguilla",TRUE,TRUE
"3","Aphia_minuta",TRUE,FALSE
"4","Belone_belone",TRUE,FALSE
"5","Buglossidium_luteum",TRUE,FALSE
"6","Ciliata_mustela",TRUE,TRUE
"7","Clupea_harengus",TRUE,TRUE
"8","Crystallogobius_linearis",TRUE,FALSE
"9","Ctenolabrus_rupestris",TRUE,TRUE
"10","Cyclopterus_lumpus",TRUE,FALSE
"11","Enchelyopus_cimbrius",TRUE,FALSE
"12","Engraulis_encrasicolus",TRUE,TRUE
"13","Gadiculus_argenteus",TRUE,FALSE
"14","Gadus_morhua",TRUE,TRUE
"15","Gasterosteus_aculeatus",TRUE,TRUE
"16","Glyptocephalus_cynoglossus",TRUE,FALSE
"17","Gobius_niger",TRUE,TRUE
"18","Gobiusculus_flavescens",TRUE,TRUE
"19","Hippoglossoides_platessoides",TRUE,TRUE
"20","Labrus_bergylta",TRUE,TRUE
"21","Lesueurigobius_friesii",TRUE,FALSE
"22","Limanda_limanda",TRUE,TRUE
"23","Liparis_montagui",TRUE,FALSE
"24","Melanogrammus_aeglefinus",TRUE,TRUE
"25","Merlangius_merlangus",TRUE,TRUE
"26","Myoxocephalus_scorpius",TRUE,TRUE
"27","Oncorhynchus_gorbuscha",TRUE,TRUE
"28","Pholis_gunnellus",TRUE,TRUE
"29","Phrynorhombus_norvegicus",TRUE,FALSE
"30","Platichthys_flesus",TRUE,TRUE
"31","Pleuronectes_platessa",TRUE,TRUE
"32","Pollachius_pollachius",TRUE,TRUE
"33","Pollachius_virens",TRUE,TRUE
"34","Pomatoschistus_microps",TRUE,TRUE
"35","Pomatoschistus_minutus",TRUE,TRUE
"36","Pomatoschistus_pictus",TRUE,FALSE
"37","Raniceps_raninus",TRUE,FALSE
"38","Salmo_salar",TRUE,TRUE
"39","Salmo_trutta",TRUE,TRUE
"40","Scomber_scombrus",TRUE,TRUE
"41","Scophthalmus_maximus",TRUE,TRUE
"42","Scophthalmus_rhombus",TRUE,TRUE
"43","Solea_solea",TRUE,TRUE
"44","Spinachia_spinachia",TRUE,TRUE
"45","Sprattus_sprattus",TRUE,TRUE
"46","Symphodus_melops",TRUE,TRUE
"47","Syngnathus_rostellatus",TRUE,FALSE
"48","Syngnathus_typhle",TRUE,TRUE
"49","Taurulus_bubalis",TRUE,TRUE
"50","Trachinus_draco",TRUE,FALSE
"51","Zeugopterus_punctatus",TRUE,FALSE
"52","Xiphias_gladius",FALSE,TRUE
"53","Eutrigla_gurnardus",FALSE,TRUE
"54","Agonus_cataphractus",FALSE,TRUE
"55","Perca_fluviatilis",FALSE,TRUE
"56","Trisopterus_esmarkii",FALSE,TRUE
"57","Trisopterus_minutus",FALSE,TRUE
"58","Scyliorhinus_canicula",FALSE,TRUE
"59","Syngnathus_acus",FALSE,TRUE
"60","Lepomis_gibbosus",FALSE,TRUE
"61","Mola_mola",FALSE,TRUE
"62","Rutilus_rutilus",FALSE,TRUE
"63","Chelidonichthys_lucerna",FALSE,TRUE
"64","Callionymus_lyra",FALSE,TRUE
"65","Molva_molva",FALSE,TRUE
"66","Labrus_mixtus",FALSE,TRUE
"67","Centrolabrus_exoletus",FALSE,TRUE
"68","Scardinius_erythrophthalmus",FALSE,TRUE
"69","Esox_lucius",FALSE,TRUE
"70","Cyprinus_carpio",FALSE,TRUE
"71","Carassius_auratus",FALSE,TRUE
"72","Sander_lucioperca",FALSE,TRUE
"73","Dicentrarchus_labrax",FALSE,TRUE
"74","Sebastes_viviparus",FALSE,TRUE
"75","Trachurus_trachurus",FALSE,TRUE
"76","Zoarces_viviparus",FALSE,TRUE
"77","Entelurus_aequoreus",FALSE,TRUE
