;Abramis_brama;Ammodytes_marinus;Anguilla_anguilla;Aphia_minuta;Belone_belone;Buglossidium_luteum;Callionymus_lyra;Callionymus_maculatus;Ciliata_mustela;Ciliata_septentrionalis;Clupea_harengus;Crystallogobius_linearis;Ctenolabrus_rupestris;Cyclopterus_lumpus;Enchelyopus_cimbrius;Engraulis_encrasicolus;Entelurus_aequoreus;Eutrigla_gurnardus;Gadiculus_argenteus;Gadus_morhua;Gasterosteus_aculeatus;Glyptocephalus_cynoglossus;Gobius_niger;Gobiusculus_flavescens;Gymnocephalus_cernua;Hippoglossoides_platessoides;Labrus_bergylta;Labrus_mixtus;Lesueurigobius_friesii;Limanda_limanda;Liparis_montagui;Melanogrammus_aeglefinus;Merlangius_merlangus;Myoxocephalus_scorpius;no identification;Oncorhynchus_gorbuscha;Osmerus_eperlanus;Perca_fluviatilis;Pholis_gunnellus;Phrynorhombus_norvegicus;Platichthys_flesus;Pleuronectes_platessa;Pollachius_pollachius;Pollachius_virens;Pomatoschistus_microps;Pomatoschistus_minutus;Pomatoschistus_pictus;Raniceps_raninus;Salmo_salar;Salmo_trutta;Sardina_pilchardus;Scomber_scombrus;Scophthalmus_maximus;Scophthalmus_rhombus;Scyliorhinus_canicula;Solea_solea;Spinachia_spinachia;Sprattus_sprattus;Symphodus_melops;Syngnathus_acus;Syngnathus_rostellatus;Syngnathus_typhle;Taurulus_bubalis;Thunnus_alalunga;Trachinus_draco;Trisopterus_minutus;Zeugopterus_punctatus;;
;Brasme (Common bream);Havsil; ål;Glasskutling;Horngjel;glasstunge;Vanlig fløyfisk;flekket fløyfisk (Spotted dragonet);Firtraadet Tang-Brosme;nordlig tangbrosme;Sild;Krystallkutling;Bergnebb;Rognkjeks;Firetrådet tangbrosme (Fourbeard rockling);Ansjos (European anchovy);Stor havnål (Snake pipefish);Knurr;sølvtorsk;Torsk;Trepigget stingsild;Smørflyndre (Witch);Svartkutling;Tangkutling (Two-spotted goby);Hork;Gapeflyndre;Berggylt;Blåstål;Spisshalet kutling;Sandflyndre;Kystringbuk;Hyse;Hvitting;Vanlig ulke;;Pukkellaks;Krøkle;Abbor;Tangsprell;Småvar;Skrubbe;Rødspette;Lyr;Sei;Leirkutling;Sandkutling;Bergkutling;Paddetorsk;Laks;Ørret;Sardin;Makrell (Atlantic mackerel);Piggvar;Slettvar;Småflekket rødhai;Tunge;Tangstikling;Brisling;Grønngylt;Stor kantnål;Liten kantnål;Tangsnelle (Broadnosed pipefish);Dvergulke;Albakor;Fjesing;Sypike;Hårvar (Topknot);;
1_S1_L001_R1_001.fastq.gz;0;0;0;271;0;0;0;0;0;0;0;214;584;0;0;0;0;0;0;0;0;0;266;506;0;0;0;0;0;304;0;0;0;0;0;0;0;0;0;0;549;0;0;0;0;1272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
10_S5_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;463;0;0;47;0;0;0;0;0;0;27;897;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;319;63;0;0;0;429;0;0;0;0;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;;
100_S55_L001_R1_001.fastq.gz;0;0;0;317;47;0;3;0;7;0;0;0;15338;0;70;0;0;0;0;0;0;0;96;133;0;0;7;0;0;0;0;41;3244;26;365;0;0;0;80;0;0;0;0;0;0;0;16;42;0;0;0;1642;0;301;0;108;0;174;1296;0;0;0;31;0;0;0;0;;
101_S56_L001_R1_001.fastq.gz;0;0;0;24;38;0;0;0;7;0;0;0;5315;0;0;0;0;0;0;0;0;0;13;122;0;0;11;0;0;0;4;80;0;0;47;0;0;0;6;0;0;0;0;0;0;0;52;29;0;0;0;301;0;0;0;0;0;29;420;0;0;0;48;0;0;0;0;;
102_S57_L001_R1_001.fastq.gz;0;71;0;161;0;33;0;0;0;0;0;0;9477;0;39;31;0;0;0;0;0;0;412;310;0;0;0;0;0;0;0;278;562;41;92;0;0;0;83;0;0;0;0;0;75;85;137;0;0;0;0;4755;140;0;0;73;0;101;203;0;0;0;0;0;0;0;0;;
103_S58_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;1430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;;
104_S59_L001_R1_001.fastq.gz;0;0;0;0;72;0;0;0;0;0;0;0;10384;0;0;0;9;0;0;0;0;0;0;108;0;0;139;0;0;0;0;14;264;17;73;0;0;0;65;0;0;0;0;0;0;0;0;19;0;0;0;1033;0;0;0;0;0;14;1701;0;0;0;217;0;0;0;35;;
105_S60_L001_R1_001.fastq.gz;0;23;0;82;44;48;0;0;41;17;0;79;4150;0;28;0;0;5;0;0;0;0;37;69;0;0;13;6;12;7;170;32;705;0;127;0;0;0;69;0;0;0;0;0;0;26;48;20;0;0;0;7024;89;0;0;25;0;227;171;0;0;0;51;0;0;0;7;;
106_S61_L001_R1_001.fastq.gz;0;0;4;0;0;0;0;0;48;0;0;0;997;0;0;0;0;0;0;19;9;0;0;502;0;23;203;0;0;0;40;0;0;0;14;0;0;0;95;22;0;0;0;0;3333;0;19;0;0;4;0;107;0;0;0;0;618;0;3105;0;0;0;58;0;5108;0;0;;
108_S62_L001_R1_001.fastq.gz;31;0;0;0;33;0;0;0;0;0;0;0;133;0;0;0;0;0;0;28;0;45;0;0;28;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;3453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
11_S6_L001_R1_001.fastq.gz;0;217;16;84;0;0;0;0;0;0;0;0;2612;61;0;0;0;0;0;141;0;0;212;3840;0;0;93;0;0;0;0;0;0;215;164;0;0;0;587;0;134;206;0;49;0;293;803;0;0;21;0;53;86;45;0;29;0;119;880;0;0;0;0;0;0;5;0;;
110_S63_L001_R1_001.fastq.gz;0;0;186;157;0;0;0;0;0;0;0;0;409;0;0;199;0;0;0;82;0;0;13;0;0;0;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
111_S64_L001_R1_001.fastq.gz;0;629;0;107;343;0;0;0;0;0;29;0;3;0;0;0;0;0;0;0;331;83;131;595;0;0;0;0;0;0;0;0;0;109;118;0;0;0;0;0;71;99;0;132;0;61;454;0;0;0;0;39;0;0;0;0;37;0;391;0;0;0;52;0;0;0;0;;
113_S65_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;0;0;1239;0;0;0;0;0;0;139;0;0;85;801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;90;0;0;0;0;0;0;0;0;0;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
118_S66_L001_R1_001.fastq.gz;0;0;0;0;0;0;0;0;0;0;26;0;0;0;53;0;0;0;0;6266;0;0;0;0;0;0;0;0;0;0;0;424;716;0;46;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;312;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;
12_S7_L001_R1_001.fastq.gz;0;0;0;76;0;0;0;0;0;0;0;0;2659;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
