"","Abramis_brama","Ammodytes_marinus","Anguilla_anguilla","Aphia","Aphia_minuta","Belone_belone","Buglossidium_luteum","Callionymus_lyra","Callionymus_maculatus","Ciliata","Ciliata_mustela","Ciliata_septentrionalis","Clupea_harengus","Clupeidae","Crystallogobius_linearis","Ctenolabrus","Ctenolabrus_rupestris","Cyclopterus_lumpus","Enchelyopus_cimbrius","Engraulis","Engraulis_encrasicolus","Entelurus_aequoreus","Eutrigla_gurnardus","Gadiculus_argenteus","Gadidae","Gadus_morhua","Gasterosteus","Gasterosteus_aculeatus","Glyptocephalus_cynoglossus","Gobius","Gobius_niger","Gobiusculus","Gobiusculus_flavescens","Gymnocephalus_cernua","Hippoglossoides_platessoides","Labrus_bergylta","Labrus_mixtus","Lampetra_planeri","Lesueurigobius_friesii","Limanda_limanda","Liparis_montagui","Mallotus_villosus","Melanogrammus_aeglefinus","Merlangius_merlangus","Myoxocephalus_scorpius","no identification","Oncorhynchus_gorbuscha","Osmerus_eperlanus","Perca_fluviatilis","Pholis_gunnellus","Phoxinus","Phrynorhombus_norvegicus","Platichthys_flesus","Pleuronectes_platessa","Pleuronectidae","Pollachius","Pollachius_pollachius","Pollachius_virens","Pomatoschistus","Pomatoschistus_microps","Pomatoschistus_minutus","Pomatoschistus_pictus","Raniceps_raninus","Rutilus","Rutilus_rutilus","Salmo","Salmo_salar","Salmo_trutta","Sardina_pilchardus","Scomber_scombrus","Scophthalmus_maximus","Scophthalmus_rhombus","Scyliorhinus_canicula","Solea_solea","Spinachia_spinachia","Sprattus_sprattus","Symphodus_melops","Syngnathus_acus","Syngnathus_rostellatus","Syngnathus_typhle","Taurulus","Taurulus_bubalis","Thunnus_alalunga","Trachinus_draco","Trisopterus_esmarkii","Trisopterus_minutus","Zeugopterus_punctatus"
"1_S1_L001_R1_001",0,0,0,0,276,0,0,0,0,0,0,0,0,0,229,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,518,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"10_S5_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,49,0,0,0,0,0,0,0,0,0,57,0,920,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,330,64,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"100_S55_L001_R1_001",0,0,0,25,318,48,0,3,0,0,9,0,0,0,0,0,15494,0,71,0,0,0,0,0,0,0,0,0,0,0,103,0,136,0,0,7,0,0,0,0,0,0,40,3380,26,275,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,17,41,0,0,0,0,0,0,2109,0,330,0,111,0,446,1386,0,0,0,0,33,0,0,0,0,0
"101_S56_L001_R1_001",0,0,0,22,24,38,0,0,0,0,8,0,0,0,0,0,5391,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,125,0,0,11,0,0,0,0,4,0,81,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,52,30,0,0,0,0,0,0,352,0,0,0,0,0,60,425,0,0,0,0,57,0,0,0,0,0
"102_S57_L001_R1_001",0,71,0,0,161,0,33,0,0,0,0,0,0,0,0,0,9618,0,39,0,31,0,0,0,0,0,0,0,0,0,448,0,317,0,0,0,0,0,0,0,0,0,281,592,44,32,0,0,0,86,0,0,0,0,0,0,0,0,0,79,89,142,0,0,0,0,0,0,0,5155,143,0,0,75,0,383,215,0,0,0,0,0,0,0,0,0,0
"103_S58_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,83,4,0,0,0,0,0,0,0,0,0,0
"104_S59_L001_R1_001",0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,10763,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,114,0,0,141,0,0,0,0,0,0,14,287,23,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1346,0,0,0,0,0,40,1793,0,0,0,0,229,0,0,0,0,36
"105_S60_L001_R1_001",0,24,0,0,83,44,49,0,0,0,44,17,0,0,93,0,4246,0,28,0,0,0,4,0,0,0,0,0,0,0,41,0,71,0,0,13,6,0,12,7,181,0,33,732,0,19,0,0,0,70,0,0,0,0,0,0,0,0,0,0,27,49,21,0,0,0,0,0,0,7966,93,0,0,25,0,449,174,0,0,0,0,54,0,0,0,0,6
"106_S61_L001_R1_001",0,0,5,0,0,0,0,0,0,0,52,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,20,0,8,0,0,0,0,517,0,23,204,0,0,0,0,42,0,0,0,0,15,0,0,0,99,0,22,0,0,0,0,0,0,0,3455,0,19,0,0,0,0,0,4,0,114,0,0,0,0,631,0,3195,0,0,0,0,62,0,5318,0,0,0
"108_S62_L001_R1_001",33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,3608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11_S6_L001_R1_001",0,226,18,0,85,0,0,0,0,0,0,0,0,0,0,0,2667,64,0,0,0,0,0,0,0,164,0,0,0,0,230,93,3948,0,0,94,0,0,0,0,0,0,0,0,230,22,0,0,0,609,0,0,138,211,0,0,0,50,0,0,310,864,0,0,0,0,0,26,0,61,91,47,0,33,0,242,906,0,0,0,0,0,0,0,0,5,0
"110_S63_L001_R1_001",0,0,190,144,158,0,0,0,0,0,0,0,0,0,0,0,415,0,0,56,202,0,0,0,0,83,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"111_S64_L001_R1_001",0,648,0,0,107,346,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,85,0,121,72,614,0,0,0,0,0,0,0,0,0,0,0,118,51,0,0,0,0,0,0,71,101,0,0,0,138,0,0,61,469,0,0,0,0,0,0,0,42,0,0,0,0,37,0,406,0,0,0,0,54,0,0,0,0,0
"113_S65_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,0,0,0,0,0,0,0,0,145,0,0,0,0,112,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"118_S66_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,53,0,0,0,0,0,0,6499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,744,0,30,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"12_S7_L001_R1_001",0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120_S67_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,111,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,158
"121_S68_L001_R1_001",0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0
"13_S8_L001_R1_001",0,0,0,44,917,0,0,0,0,0,0,0,0,0,0,0,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,2220,0,0,0,2,0,3930,413,424,0,0,0,0,0,0,0,355,55,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"134_S69_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,80,0,0,0,0,42,0,95,0,3,0,0,0,0,0,0,0,0,0,0,58,0,0,0,156,150,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"139_S70_L001_R1_001",0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,339,79,0,0,0,0,0,0,0,536,0,0,0,90,0,41,260,0,0,0,0,159,0,0,0,0,0
"14_S9_L001_R1_001",0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,2614,0,0,0,0,0,0,0,0,0,0,10,0,0,492,0,537,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,71,25,0,0,0,9,1186,0,0,0,0,0,0,0,0,0,0
"140_S71_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,17421,0,0,0,0,0,0,0,0,129,0,26,0,0,7,32,1166,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,30,0,0,156,198,31,0,0,0,0,0,0,81,0,0,0,0,46,87,87,0,0,0,0,94,0,0,0,0,0
"141_S72_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143_S73_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144_S74_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145_S75_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15_S10_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,163,0,0,137,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"16_S11_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,232,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,37,0,0,16,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"160_S76_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162_S77_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,533,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,717,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"164_S78_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167_S79_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169_S80_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17_S12_L001_R1_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,241,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,57,0,0,24,0,0,0,0,0,0,107,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
