,Abramis_brama,Ammodytes_marinus,Anguilla_rostrata,Aphia_minuta,Belone_belone,Buglossidium_luteum,Callionymus_lyra,Callionymus_maculatus,Chelidonichthys_cuculus,Ciliata_mustela,Ciliata_septentrionalis,Clupea_harengus,Clupea_pallasii,Crystallogobius_linearis,Ctenolabrus_rupestris,Cyclopterus_lumpus,Enchelyopus_cimbrius,Engraulis_encrasicolus,Entelurus_aequoreus,Gadiculus_argenteus,Gadus_macrocephalus,Gadus_morhua,Gasterosteus_aculeatus,Glyptocephalus_cynoglossus,Gobius_niger,Gobiusculus_flavescens,Gymnocephalus_cernua,Hippoglossoides_platessoides,Labrus_bergylta,Labrus_mixtus,Lesueurigobius_friesii,Limanda_limanda,Liparis_montagui,Melanogrammus_aeglefinus,Merlangius_merlangus,Myoxocephalus_scorpius,Oncorhynchus_gorbuscha,Osmerus_eperlanus,Perca_fluviatilis,Pholis_gunnellus,Phoxinus_phoxinus,Phrynorhombus_norvegicus,Platichthys_flesus,Pleuronectes_platessa,Pollachius_pollachius,Pollachius_virens,Pomatoschistus_microps,Pomatoschistus_minutus,Pomatoschistus_pictus,Raniceps_raninus,Salmo_salar,Salmo_trutta,Sardina_pilchardus,Scomber_scombrus,Scophthalmus_maximus,Scophthalmus_rhombus,Scyliorhinus_canicula,Solea_solea,Spinachia_spinachia,Sprattus_sprattus,Symphodus_melops,Syngnathus_acus,Syngnathus_rostellatus,Syngnathus_typhle,Taurulus_bubalis,Thunnus_alalunga,Trachinus_draco,Trisopterus_luscus,Trisopterus_minutus,Zeugopterus_punctatus,Zoarces_viviparus
X1,0,0,0,271,0,0,0,0,0,0,0,0,0,214,584,0,0,0,0,0,0,0,0,0,266,506,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,47,0,0,0,0,0,0,27,897,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,319,63,0,0,0,429,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
X100,0,0,0,317,47,0,3,0,0,7,0,0,174,0,15457,0,70,0,0,0,0,128,0,0,96,133,0,0,7,0,0,0,0,41,3244,26,0,0,0,80,0,0,0,0,0,0,0,0,16,42,0,0,0,1642,0,301,0,108,0,0,1296,0,0,0,31,0,0,0,0,0,118
X101,0,0,0,46,38,0,0,0,0,7,0,0,29,0,5340,0,0,0,0,0,0,0,0,0,13,122,0,0,11,0,0,0,4,80,0,0,0,0,0,6,0,0,0,0,0,0,0,0,52,29,0,0,0,301,0,0,0,0,0,0,420,0,0,0,48,0,0,0,0,0,0
X102,0,71,0,161,0,33,0,0,0,0,0,0,55,0,9533,0,39,31,0,0,0,36,0,0,412,310,0,0,0,0,0,0,0,278,562,41,0,0,0,83,0,0,0,0,0,0,75,85,137,0,0,0,0,4755,140,0,0,73,0,46,203,0,0,0,0,0,0,0,0,0,0
X103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
X104,0,0,0,0,72,0,0,0,0,0,0,0,14,0,10439,0,0,0,9,0,0,0,0,0,0,108,0,0,139,0,0,0,0,14,264,17,0,0,0,65,0,0,0,0,0,0,0,0,0,19,0,0,0,1033,0,0,0,0,0,0,1701,0,0,0,217,0,0,0,0,35,0
X105,0,23,0,82,44,48,0,0,5,41,17,0,227,79,4257,0,28,0,0,0,0,20,0,0,37,69,0,0,13,6,12,7,170,32,705,0,0,0,0,69,0,0,0,0,0,0,0,26,48,20,0,0,0,7024,89,0,0,25,0,0,171,0,0,0,51,0,0,0,0,7,0
X106,0,0,4,0,0,0,0,0,0,48,0,0,0,0,997,0,0,0,0,0,19,0,9,0,0,502,0,23,203,0,0,0,40,0,0,0,0,0,0,95,0,22,0,0,0,0,3333,0,19,0,0,4,0,107,0,0,0,0,618,0,3105,0,0,0,58,0,5108,0,0,0,14
X108,31,0,0,0,33,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,28,0,0,45,0,0,28,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,3453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11,0,217,16,84,0,0,0,0,0,0,0,0,62,0,2648,61,0,0,0,0,141,0,0,0,212,3964,0,0,93,0,0,0,0,0,0,215,0,0,0,587,0,0,134,206,0,49,0,293,803,0,0,21,0,53,86,45,0,29,0,57,880,0,0,0,0,0,0,4,5,0,0
X110,0,0,186,297,0,0,0,0,0,0,0,0,0,0,409,0,0,254,0,0,82,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X111,0,629,0,107,343,0,0,0,0,0,0,29,0,0,3,0,0,0,0,0,0,0,331,83,131,666,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,71,99,0,132,0,61,454,0,0,0,0,39,0,0,0,0,37,0,391,0,0,0,52,0,0,0,0,0,47
X113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,0,0,0,0,0,139,0,0,0,85,801,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,90,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X118,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,53,0,0,0,6266,0,0,0,0,0,0,0,0,0,0,0,0,424,716,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,312,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0
X12,0,0,0,76,0,0,0,0,0,0,0,0,0,0,2659,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,158,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,147,13
X121,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,45,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0
X13,0,0,0,954,0,0,0,0,0,0,0,0,0,0,3135,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,2199,0,2,3842,396,409,0,0,0,0,326,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,80,0,0,42,91,0,3,0,0,0,0,0,0,0,58,0,0,150,143,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
X139,0,0,0,119,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,53,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,332,76,0,0,0,0,495,0,0,0,84,0,0,255,0,0,0,155,0,0,0,0,0,0
X14,0,0,0,190,0,0,0,0,0,0,0,0,0,0,2573,0,0,0,0,0,0,0,10,0,450,532,0,0,207,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,334,68,25,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0
X140,0,0,0,0,0,0,0,0,0,0,0,440,45,0,17189,0,0,0,0,0,127,0,26,0,6,1186,0,0,41,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,26,0,146,190,30,0,0,0,75,0,0,0,0,46,0,82,0,0,0,91,0,0,0,0,0,0
X141,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
